楼栋,房号,楼层,建筑面积,单价,总价,更新日期,已售
3,0152,1,46.69,22510.0,1050991.9,24年03月13日,未网签
3,0153,1,43.5,16828.0,732018.0,24年03月13日,未网签
3,0154,1,57.42,16828.0,966263.75,24年03月13日,未网签
3,0160,1,40.34,16828.0,678841.5,24年03月13日,未网签
3,0161,1,40.34,16828.0,678841.5,24年03月13日,未网签
3,0162,1,40.34,16828.0,678841.5,24年03月13日,未网签
3,0163,1,37.6,16828.0,632732.8,24年03月13日,未网签
3,0164,1,40.34,16828.0,678841.5,24年03月13日,未网签
3,0170,1,56.05,16828.0,943209.4,24年03月13日,未网签
3,0171,1,56.05,16828.0,943209.4,24年03月13日,未网签
3,0172,1,48.77,16828.0,820701.56,24年03月13日,未网签
3,0173,1,33.84,16828.0,569459.5,24年03月13日,未网签
3,0174,1,44.99,16828.0,757091.75,24年03月13日,未网签
3,0180,1,27.13,16828.0,456543.62,24年03月13日,未网签
3,0181,1,14.91,16828.0,250905.48,24年03月13日,未网签
3,0182,1,46.98,16828.0,790579.44,24年03月13日,未网签
3,0183,1,49.06,16828.0,825581.7,24年03月13日,未网签
3,0184,1,22.81,16828.0,383846.7,24年03月13日,未网签
3,0190,1,24.14,16828.0,406227.9,24年03月13日,未网签
3,0191,1,25.04,16828.0,421373.12,24年03月13日,未网签
3,0192,1,10.36,16828.0,174338.08,24年03月13日,未网签
3,0193,1,12.3,16828.0,206984.4,24年03月13日,未网签
3,0194,1,13.96,16828.0,234918.88,24年03月13日,未网签
5,0105,1,46.0,22510.0,1035460.0,24年03月13日,未网签
5,0106,1,47.15,22510.0,1061346.5,24年03月13日,未网签
5,0107,1,46.0,22510.0,1035460.0,24年03月13日,未网签
5,0108,1,47.15,22510.0,1061346.5,24年03月13日,未网签
5,0109,1,33.35,22510.0,750708.5,24年03月13日,未网签
5,0115,1,47.15,22510.0,1061346.5,24年03月13日,未网签
5,0116,1,46.0,22510.0,1035460.0,24年03月13日,未网签
5,0117,1,47.15,22510.0,1061346.5,24年03月13日,未网签
5,0118,1,46.0,22510.0,1035460.0,24年03月13日,未网签
5,0119,1,47.15,22510.0,1061346.5,24年03月13日,未网签
5,0125,1,58.87,33874.0,1994162.4,24年03月13日,未网签
5,0126,1,49.62,33874.0,1680827.9,24年03月13日,未网签
5,0127,1,27.21,33874.0,921711.56,24年03月13日,未网签
